msk_mth_since_last_limit_review,msk_age,msk_bank_tenor,target
19.0,57.5,423.0,0
3.0,58.5,100.0,0
2.0,29.0,117.0,0
47.0,49.0,412.0,0
48.0,54.0,416.0,0
7.0,43.0,245.0,0
24.0,52.0,378.0,0
19.0,62.5,427.0,0
160.0,41.5,273.0,0
13.0,28.0,83.0,0
14.0,29.0,155.0,0
4.0,38.0,261.0,0
19.0,39.0,268.0,1
0.0,39.5,254.0,0
2.0,40.5,309.0,0
30.0,66.0,327.0,0
16.0,35.0,34.0,0
0.0,36.5,289.0,1
1.0,29.0,113.0,1
22.0,52.5,384.0,0
10.0,44.0,247.0,0
19.0,45.0,39.0,0
0.0,67.0,280.0,0
11.0,52.5,312.0,0
19.0,41.0,337.0,0
22.0,41.0,237.0,0
10.0,35.0,223.0,0
2.0,38.0,200.0,0
96.0,32.0,150.0,0
35.0,24.5,67.0,0
22.0,34.0,195.0,0
28.0,37.0,251.0,0
39.0,51.0,112.0,0
46.0,37.5,293.0,0
0.0,52.0,350.0,1
19.0,41.0,234.0,0
23.0,75.0,306.0,0
96.0,49.0,373.0,0
18.0,33.0,245.0,0
49.0,51.0,264.0,0
96.0,48.0,212.0,0
6.0,36.0,120.0,0
11.0,63.5,72.0,0
6.0,36.0,194.0,0
16.0,35.0,17.0,0
43.0,53.0,350.0,0
10.0,30.0,26.0,0
19.0,29.0,148.0,0
33.0,43.5,152.0,0
21.0,50.0,352.0,1
20.0,50.5,211.0,0
13.0,33.0,161.0,0
70.0,36.0,230.0,0
19.0,54.0,247.0,0
100.0,46.0,357.0,0
42.0,63.5,347.0,0
13.0,55.0,216.0,0
15.0,51.0,177.0,0
11.0,38.0,242.0,0
27.0,40.0,75.0,1
47.0,31.5,128.0,0
47.0,55.0,205.0,0
19.0,22.0,85.0,0
12.0,34.0,165.0,1
17.0,49.0,112.0,0
72.0,39.5,327.0,1
13.0,31.0,149.0,0
52.0,61.5,59.0,0
102.0,52.0,303.0,0
22.0,43.0,222.0,0
24.0,30.0,112.0,0
42.0,40.0,246.0,0
17.0,48.0,382.0,0
78.0,63.0,368.0,0
32.0,30.0,149.0,0
77.0,37.0,235.0,0
17.0,30.0,132.0,0
26.0,66.5,322.0,0
0.0,54.5,390.0,0
30.0,42.5,225.0,0
67.0,50.0,350.0,0
4.0,57.5,384.0,0
2.0,25.0,24.0,0
39.0,54.0,354.0,0
19.0,33.5,203.0,0
