id,y,city,mar_status,age,xaccount_age,cred_limit,this_bill_rate,this_bill_mp,last_mp_days,six_bill_num,six_bill_avg_amt,six_cycle_mp_num,six_cycle_mp_avg_amt,six_bill_avg_debt_rate,six_bill_low_repay_num,six_optial_mp_num,six_optial_mp_avg_amt,epp_nbr_12m,alop_nbr_12m,epp_avg_amt_12m,alop_avg_amt_12m,consume_num_session12,consume_num_session6,consume_num_session3,consume_num_session,consume_amt_session12,consume_amt_session6,consume_amt_session3,consume_amt_session,month_avg_use_year,month_avg_use_month6,month_avg_use_month3
2.0,0.0,52.0,0.0,32.0,10.0,20000.0,0.162971,1213.15,15.0,6.0,5121.82,1.0,8590.6,1.024364,1.0,0.0,0.0,2.0,0.0,2299.06,0.0,24.0,17.0,12.0,2.0,70173.0,29294.0,16773.0,1249.0,0.350865,0.244116667,0.27955
13.0,0.0,84.0,2.0,28.0,17.0,2500.0,0.0,2165.66,9999.0,6.0,1652.9,0.0,0.0,0.33058,3.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,15.0,3.0,0.0,19515.38,3475.6,3130.88,0.0,0.661538305,0.231706667,0.417450667
17.0,0.0,35.0,0.0,34.0,17.0,28500.0,0.792989474,21336.18,9999.0,6.0,15406.17,0.0,0.0,1.038618202,0.0,0.0,0.0,1.0,0.0,1168.51,0.0,134.0,96.0,47.0,15.0,206655.62,114284.77,78978.75,22600.2,0.731524319,0.703290892,0.92372807
22.0,0.0,40.0,0.0,28.0,17.0,5000.0,1.0016,4668.3,9999.0,6.0,12634.14,0.0,0.0,1.5160968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,37.0,15.0,5.0,227540.0,87870.0,14900.0,5000.0,0.948083333,0.976333333,0.993333333
27.0,0.0,21.0,2.0,26.0,19.0,60000.0,0.9903,56447.1,9999.0,6.0,38870.11,0.0,0.0,1.86576528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,259.0,70.0,57.0,40.0,549835.93,290014.88,176430.0,59418.0,0.872755444,0.87883297,0.980166667
29.0,0.0,1.0,1.0,36.0,138.0,46000.0,0.418606739,12171.3,17.0,6.0,31712.98,2.0,10502.0,1.52222304,0.0,0.0,0.0,14.0,0.0,8273.81,0.0,191.0,50.0,9.0,4.0,361647.76,197082.29,106119.0,28091.0,0.655158986,0.714066268,0.768978261
32.0,0.0,68.0,2.0,27.0,62.0,117500.0,0.384212766,42886.73,9999.0,6.0,34704.64,0.0,0.0,4.430379574,0.0,0.0,0.0,0.0,1.0,0.0,5000.0,87.0,49.0,28.0,6.0,371996.5,229952.5,121303.2,45121.0,0.315251271,0.326173759,0.344122553
41.0,0.0,44.0,0.0,32.0,8.0,2000.0,0.61185,1161.67,9999.0,5.0,686.31,0.0,0.0,0.0823572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,6.0,4.0,3589.81,3589.81,1693.0,1223.7,0.358981,0.358981,0.282166667
42.0,0.0,19.0,0.0,53.0,87.0,80000.0,0.706949625,50905.36,193.0,6.0,26213.9,0.0,0.0,2.62139,2.0,0.0,0.0,1.0,0.0,1668.67,0.0,20.0,16.0,14.0,4.0,208787.0,152922.0,140842.0,53565.0,0.217486458,0.3185875,0.586841667
49.0,0.0,1.0,1.0,48.0,18.0,31000.0,0.629341935,18354.66,9999.0,6.0,15326.84,0.0,0.0,1.414785231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,270.0,120.0,78.0,40.0,145245.5,96265.33,50808.83,19331.85,0.424694444,0.517555538,0.546331505
53.0,0.0,76.0,0.0,36.0,15.0,32500.0,0.641025846,19000.0,181.0,6.0,13046.11,0.0,0.0,2.236476,1.0,0.0,0.0,4.0,0.0,1950.05,0.0,14.0,8.0,7.0,1.0,111708.9,85300.0,61300.0,20000.0,0.366258689,0.461081081,0.628717949
58.0,0.0,18.0,0.0,37.0,19.0,42000.0,0.723666667,28873.53,9999.0,6.0,13440.9,0.0,0.0,1.612908,2.0,0.0,0.0,0.0,1.0,0.0,3833.33,49.0,11.0,4.0,2.0,153607.9,95076.0,60366.0,30366.0,0.365733095,0.39615,0.479095238
63.0,0.0,102.0,0.0,24.0,22.0,1000.0,0.72483,688.59,9999.0,5.0,332.21,0.0,0.0,0.137466207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,17.0,12.0,3.0,1499.91,1499.91,987.98,724.83,0.299982,0.299982,0.329326667
64.0,0.0,30.0,0.0,27.0,11.0,22000.0,0.83775,16972.51,9999.0,6.0,7741.44,0.0,0.0,1.8579456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,6.0,2.0,2.0,113736.8,56335.9,18422.5,18422.5,0.558903194,0.471430126,0.302008197
67.0,0.0,131.0,2.0,34.0,10.0,38000.0,0.015726842,567.74,9999.0,6.0,11617.58,0.0,0.0,0.562140968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,305.0,126.0,18.0,3.0,93045.18,81392.21,34552.14,597.62,0.325332797,0.411071768,0.303088947
71.0,0.0,0.0,0.0,28.0,10.0,14000.0,0.395021429,5095.61,9999.0,6.0,2649.78,0.0,0.0,0.6359472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,36.0,16.0,4.0,22245.56,17501.46,10293.4,5355.8,0.191772069,0.230282368,0.245080952
75.0,0.0,74.0,0.0,44.0,5.0,50000.0,0.1713936,8126.0,9999.0,5.0,5365.94,0.0,0.0,0.292687636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,2.0,1.0,26885.78,26885.78,11397.68,8569.68,0.114407574,0.114407574,0.07860469
83.0,0.0,118.0,0.0,34.0,22.0,22500.0,0.831415111,17375.5,271.0,6.0,16349.97,0.0,0.0,2.802852,0.0,0.0,0.0,1.0,0.0,381.47,0.0,29.0,20.0,11.0,4.0,101401.9,81710.0,49970.0,18270.0,0.375562593,0.605259259,0.740296296
91.0,0.0,84.0,2.0,33.0,54.0,10000.0,1.0224,9500.0,724.0,6.0,6747.36,0.0,0.0,1.245666462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,35.0,19.0,2.0,119290.5,63681.0,34803.0,9724.0,0.9940875,1.06135,1.1601
98.0,0.0,1.0,0.0,39.0,65.0,77000.0,0.041394935,3028.04,9999.0,6.0,4979.59,0.0,0.0,0.5975508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,551.0,235.0,94.0,15.0,87944.68,36813.12,19597.81,3187.41,0.095178225,0.079682078,0.084839004
110.0,0.0,75.0,0.0,31.0,10.0,25000.0,0.8896344,21125.74,9999.0,6.0,15055.71,0.0,0.0,3.345713333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,46.0,37.0,19.0,142795.79,105722.17,57513.56,22232.86,0.679979952,0.813247462,0.821622286
111.0,0.0,1.0,2.0,26.0,23.0,4000.0,1.0,3800.0,9999.0,6.0,2285.71,0.0,0.0,1.523806667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,4.0,2.0,1.0,22191.77,16000.0,8000.0,4000.0,0.477242366,0.666666667,0.666666667
117.0,0.0,38.0,0.0,34.0,6.0,30000.0,1.000266667,28500.0,9999.0,5.0,20004.8,0.0,0.0,1.200288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,4.0,1.0,100000.0,100000.0,80000.0,30000.0,0.769230769,0.769230769,0.888888889
125.0,0.0,96.0,0.0,44.0,63.0,24000.0,0.11701625,22042.17,364.0,6.0,19417.49,0.0,0.0,1.1650494,5.0,0.0,0.0,1.0,0.0,758.4,0.0,12.0,6.0,3.0,1.0,43690.0,15830.0,8930.0,2050.0,0.151701389,0.109930556,0.124027778
127.0,0.0,104.0,0.0,29.0,6.0,6000.0,0.0,4660.19,9999.0,6.0,5487.13,0.0,0.0,0.2194852,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,1.0,0.0,6729.75,6729.75,281.1,0.0,0.1869375,0.1869375,0.015616667
131.0,0.0,18.0,0.0,40.0,9.0,30000.0,0.982352,27997.03,9999.0,6.0,19661.94,0.0,0.0,1.1797164,1.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,22.0,15.0,6.0,165918.06,137178.06,81777.06,29462.56,0.790086,0.762100333,0.908634
132.0,0.0,121.0,1.0,48.0,32.0,52500.0,0.96946381,43601.89,9999.0,6.0,44220.69,0.0,0.0,2.948046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,147.0,107.0,75.0,20.0,626920.69,332456.75,170129.16,50896.85,0.594801414,0.789683492,1.080185143
137.0,0.0,11.0,0.0,35.0,11.0,12000.0,0.8617775,9507.6,9999.0,6.0,6223.83,0.0,0.0,0.369732475,0.0,0.0,0.0,3.0,0.0,833.25,0.0,14.0,12.0,6.0,1.0,57898.45,49899.45,25881.0,10000.0,0.603108854,0.693047917,0.718916667
147.0,0.0,68.0,0.0,45.0,7.0,3000.0,5.628493333,2704.54,9999.0,6.0,2139.64,0.0,0.0,0.675675789,0.0,0.0,0.0,0.0,1.0,0.0,83.33,90.0,88.0,49.0,7.0,27980.55,27212.95,21328.88,16865.48,1.332407143,1.511830556,2.369875556
148.0,0.0,26.0,0.0,26.0,15.0,12000.0,0.89825,10240.05,9999.0,6.0,3488.31,0.0,0.0,0.5232465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,33.0,6.0,1.0,88361.25,45373.22,25322.0,10771.0,0.649715074,0.630183611,0.703388889
