,y,six_cycle_mp_num,six_cycle_mp_avg_amt,epp_nbr_12m,epp_avg_amt_12m,alop_nbr_12m,alop_avg_amt_12m,six_bill_low_repay_num,consume_amt_session,consume_num_session
0,0.0,1.0,8590.6,2.0,2299.06,0.0,0.0,1.0,1249.0,2.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
2,0.0,0.0,0.0,1.0,1168.51,0.0,0.0,0.0,22600.2,15.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000.0,5.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59418.0,40.0
5,0.0,2.0,10502.0,14.0,8273.81,0.0,0.0,0.0,28091.0,4.0
6,0.0,0.0,0.0,0.0,0.0,1.0,5000.0,0.0,45121.0,6.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1223.7,4.0
8,0.0,0.0,0.0,1.0,1668.67,0.0,0.0,2.0,53565.0,4.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19331.85,40.0
10,0.0,0.0,0.0,4.0,1950.05,0.0,0.0,1.0,20000.0,1.0
11,0.0,0.0,0.0,0.0,0.0,1.0,3833.33,2.0,30366.0,2.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,724.83,3.0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18422.5,2.0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,597.62,3.0
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5355.8,4.0
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8569.68,1.0
17,0.0,0.0,0.0,1.0,381.47,0.0,0.0,0.0,18270.0,4.0
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9724.0,2.0
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3187.41,15.0
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22232.86,19.0
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4000.0,1.0
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30000.0,1.0
23,0.0,0.0,0.0,1.0,758.4,0.0,0.0,5.0,2050.0,1.0
24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,29462.56,6.0
26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50896.85,20.0
27,0.0,0.0,0.0,3.0,833.25,0.0,0.0,0.0,10000.0,1.0
28,0.0,0.0,0.0,0.0,0.0,1.0,83.33,0.0,16865.48,7.0
