,city,mar_status,age,xaccount_age,cred_limit,this_bill_rate,this_bill_mp,last_mp_days,six_bill_num,six_bill_avg_amt,six_cycle_mp_num,six_cycle_mp_avg_amt,six_bill_avg_debt_rate,six_bill_low_repay_num,epp_nbr_12m,alop_nbr_12m,epp_avg_amt_12m,alop_avg_amt_12m,consume_num_session12,consume_num_session6,consume_num_session3,consume_num_session,consume_amt_session12,consume_amt_session6,consume_amt_session3,consume_amt_session,month_avg_use_year,month_avg_use_month6,month_avg_use_month3,y
2967,36.0,0.0,45.0,62.0,17000.0,0.044702940999999996,721.95,9999.0,6.0,1594.75,0.0,0.0,0.25180263199999997,0.0,0.0,0.0,0.0,0.0,92.0,52.0,34.0,15.0,18469.71,13565.39,3469.92,927.96,0.090537794,0.13299402,0.068037647,0.0
700,88.0,2.0,24.0,15.0,28000.0,0.7657564290000001,20387.01,43.0,6.0,14122.09,1.0,4700.0,3.3893016000000005,0.0,1.0,0.0,391.67,0.0,331.0,195.0,83.0,21.0,123695.97,99878.75,72008.67,22016.18,0.454764596,0.6570970389999999,0.8572460709999999,0.0
3481,94.0,0.0,40.0,55.0,19500.0,0.979457949,17834.13,956.0,6.0,14701.03,0.0,0.0,2.9402060000000003,0.0,0.0,0.0,0.0,0.0,36.0,24.0,15.0,6.0,143169.0,89433.0,56497.0,19090.0,0.611833333,0.764384615,0.965760684,0.0
1621,16.0,0.0,34.0,15.0,24000.0,0.0875,1995.0,9999.0,6.0,7423.88,0.0,0.0,0.76142359,1.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,13600.0,13600.0,13600.0,2100.0,0.283333333,0.283333333,0.283333333,0.0
800,24.0,0.0,48.0,21.0,15000.0,0.931308,12868.35,9999.0,6.0,9349.12,0.0,0.0,0.5609472,0.0,2.0,0.0,424.0,0.0,27.0,20.0,12.0,7.0,55154.63,40202.63,26205.63,13533.63,0.306414611,0.446695889,0.582347333,0.0
8942,110.0,0.0,43.0,23.0,90000.0,0.614373333,49296.56,576.0,6.0,74249.28,0.0,0.0,5.568696,0.0,2.0,2.0,3315.17,16666.67,95.0,55.0,19.0,3.0,927980.72,493456.59,227847.08,51873.0,0.8592414070000001,0.9138084999999999,0.843878074,1.0
3980,86.0,0.0,32.0,10.0,3000.0,0.7,1995.0,9999.0,6.0,2157.71,0.0,0.0,0.3236565,0.0,0.0,0.0,0.0,0.0,10.0,7.0,4.0,1.0,23884.0,15104.0,6745.0,2100.0,0.796133333,0.8391111109999999,0.7494444440000001,0.0
3663,36.0,0.0,31.0,5.0,20000.0,0.999448,18989.51,9999.0,5.0,19993.99,0.0,0.0,1.1996394,0.0,0.0,0.0,0.0,0.0,20.0,20.0,17.0,10.0,119977.96,119977.96,79981.96,19988.96,1.1997796,1.1997796,1.3330326670000001,0.0
7878,94.0,0.0,42.0,16.0,45000.0,0.131310667,5613.53,9999.0,6.0,11495.14,0.0,0.0,1.254015273,1.0,0.0,0.0,0.0,0.0,11.0,11.0,11.0,6.0,39074.96,39074.96,39074.96,5908.98,0.43416622200000005,0.43416622200000005,0.43416622200000005,0.0
2330,90.0,0.0,36.0,1.0,10000.0,0.2845,2560.5,9999.0,1.0,2845.0,0.0,0.0,0.2276,0.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,6.0,2845.0,2845.0,2845.0,2845.0,0.2845,0.2845,0.2845,0.0
5843,1.0,0.0,36.0,67.0,50000.0,0.0303632,234.47,352.0,6.0,1528.5,0.0,0.0,0.09171,4.0,1.0,0.0,1899.69,0.0,6.0,6.0,3.0,1.0,2068.9,2068.9,612.1,227.7,0.003477143,0.006896333,0.0040806670000000005,0.0
640,35.0,2.0,23.0,12.0,5500.0,0.771756364,4375.11,9999.0,6.0,3731.06,0.0,0.0,0.559659,0.0,2.0,0.0,456.67,0.0,45.0,17.0,9.0,3.0,55734.53,22770.0,12000.0,4000.0,0.90625252,0.69,0.727272727,0.0
6804,93.0,2.0,21.0,10.0,6000.0,0.6776116670000001,3799.05,9999.0,6.0,1259.78,0.0,0.0,0.188967,2.0,1.0,0.0,83.33,0.0,7.0,4.0,2.0,1.0,10153.0,8442.0,5999.0,3999.0,0.31728125,0.3015,0.3749375,0.0
