city,mar_status,age,xaccount_age,cred_limit,this_bill_rate,this_bill_mp,last_mp_days,six_bill_num,six_bill_avg_amt,six_cycle_mp_num,six_cycle_mp_avg_amt,six_bill_avg_debt_rate,six_bill_low_repay_num,epp_nbr_12m,alop_nbr_12m,epp_avg_amt_12m,alop_avg_amt_12m,consume_num_session12,consume_num_session6,consume_num_session3,consume_num_session,consume_amt_session12,consume_amt_session6,consume_amt_session3,consume_amt_session,month_avg_use_year,month_avg_use_month6,month_avg_use_month3,target
36,0,45,62,17000,0.044702941,721.95,9999,6,1594.75,0,0,0.251802632,0,0,0,0,0,92,52,34,15,18469.71,13565.39,3469.92,927.96,0.090537794,0.13299402,0.068037647,0
88,2,24,15,28000,0.765756429,20387.01,43,6,14122.09,1,4700,3.3893016,0,1,0,391.67,0,331,195,83,21,123695.97,99878.75,72008.67,22016.18,0.454764596,0.657097039,0.857246071,0
94,0,40,55,19500,0.979457949,17834.13,956,6,14701.03,0,0,2.940206,0,0,0,0,0,36,24,15,6,143169,89433,56497,19090,0.611833333,0.764384615,0.965760684,0
16,0,34,15,24000,0.0875,1995,9999,6,7423.88,0,0,0.76142359,1,0,0,0,0,2,2,2,1,13600,13600,13600,2100,0.283333333,0.283333333,0.283333333,0
24,0,48,21,15000,0.931308,12868.35,9999,6,9349.12,0,0,0.5609472,0,2,0,424,0,27,20,12,7,55154.63,40202.63,26205.63,13533.63,0.306414611,0.446695889,0.582347333,0
110,0,43,23,90000,0.614373333,49296.56,576,6,74249.28,0,0,5.568696,0,2,2,3315.17,16666.67,95,55,19,3,927980.72,493456.59,227847.08,51873,0.859241407,0.9138085,0.843878074,1
86,0,32,10,3000,0.7,1995,9999,6,2157.71,0,0,0.3236565,0,0,0,0,0,10,7,4,1,23884,15104,6745,2100,0.796133333,0.839111111,0.749444444,0
36,0,31,5,20000,0.999448,18989.51,9999,5,19993.99,0,0,1.1996394,0,0,0,0,0,20,20,17,10,119977.96,119977.96,79981.96,19988.96,1.1997796,1.1997796,1.333032667,0
94,0,42,16,45000,0.131310667,5613.53,9999,6,11495.14,0,0,1.254015273,1,0,0,0,0,11,11,11,6,39074.96,39074.96,39074.96,5908.98,0.434166222,0.434166222,0.434166222,0
90,0,36,1,10000,0.2845,2560.5,9999,1,2845,0,0,0.2276,0,0,0,0,0,6,6,6,6,2845,2845,2845,2845,0.2845,0.2845,0.2845,0
1,0,36,67,50000,0.0303632,234.47,352,6,1528.5,0,0,0.09171,4,1,0,1899.69,0,6,6,3,1,2068.9,2068.9,612.1,227.7,0.003477143,0.006896333,0.004080667,0
35,2,23,12,5500,0.771756364,4375.11,9999,6,3731.06,0,0,0.559659,0,2,0,456.67,0,45,17,9,3,55734.53,22770,12000,4000,0.90625252,0.69,0.727272727,0
93,2,21,10,6000,0.677611667,3799.05,9999,6,1259.78,0,0,0.188967,2,1,0,83.33,0,7,4,2,1,10153,8442,5999,3999,0.31728125,0.3015,0.3749375,0
125,0,37,5,45000,0.483019556,20648.9,9999,5,16596.06,0,0,2.489409,0,0,1,0,1666.67,29,29,19,7,65597.26,65597.26,54292.07,21735.88,0.291543378,0.291543378,0.402163481,0
121,0,46,3,4500,1.06332,2645.69,9999,3,1721.65,0,0,0.137732,0,0,0,0,0,9,9,9,5,9098.94,9098.94,9098.94,4776.94,0.673995556,0.673995556,0.673995556,0
75,0,54,1,2000,0.89393,1609.07,9999,1,1787.86,0,0,0.4290864,0,0,0,0,0,6,6,6,6,1787.86,1787.86,1787.86,1787.86,0.89393,0.89393,0.89393,0
3,0,31,5,9000,0.000888889,7.6,9999,3,1039,0,0,0.090347826,2,0,1,0,250,0,0,0,0,0,0,0,0,0,0,0,0
57,0,35,22,38000,0.341107895,9541.8,60,6,15065.5,3,6381.55,1.20524,1,4,4,2597.05,2250,38,26,6,1,65910.7,35908.45,18909.92,10000,0.144541009,0.157493202,0.165876491,1
77,0,45,7,30000,0.042221333,1203.31,181,6,1365.12,1,1016.5,0.0819072,1,1,0,84.71,0,24,24,24,12,5382.84,5382.84,5382.84,1266.64,0.059809333,0.059809333,0.059809333,0
90,0,29,10,18500,0.081512973,7.6,9999,6,3159.4,0,0,0.468059259,4,5,0,1608.33,0,14,10,1,0,23003,19053,7300,0,0.149856678,0.171648649,0.131531532,0
88,2,23,15,4000,0.16455,3539.89,381,6,3107.48,0,0,0.909506341,1,0,0,0,0,92,50,20,19,7234.1,2472.16,678.2,658.2,0.150710417,0.103006667,0.056516667,0
118,0,31,9,22500,0.039224444,838.42,9999,6,1263.17,0,0,0.116600308,0,0,0,0,0,118,118,64,21,8256.9,8256.9,2970.69,882.55,0.0688075,0.0688075,0.044010222,0
139,0,28,9,38000,0.526315789,18999.33,9999,6,11827.37,0,0,0.4730948,0,0,0,0,0,9,9,3,2,70966.3,70966.3,40000,20000,0.377480319,0.377480319,0.384615385,0
103,2,24,11,6000,0.184028333,418.41,12,6,2516.15,2,3397.38,0.603876,2,3,1,714.52,250,98,41,19,2,21648.73,9960.7,1677.1,529.94,0.328011061,0.276686111,0.093172222,0
135,0,25,1,15000,0.080342,913.62,9999,1,1015.13,0,0,0.135350667,0,0,0,0,0,4,4,4,4,1205.13,1205.13,1205.13,1205.13,0.080342,0.080342,0.080342,1
9,2,28,7,2000,1.030375,1893.11,9999,5,1978.17,0,0,1.31878,0,0,0,0,0,18,18,6,3,9997.72,9997.72,6079.75,2060.75,0.999772,0.999772,1.013291667,0
3,0,47,8,2000,1.004,1888.6,9999,6,1709.71,0,0,0.155428182,0,0,0,0,0,9,7,3,1,15930,11980,6000,2000,0.995625,0.998333333,1,0
105,1,29,5,26000,1.187232692,21561.25,9999,4,17368.01,0,0,1.3894408,0,0,0,0,0,13,13,8,3,79716.05,79716.05,60346.05,30868.05,0.926930814,0.926930814,0.914334091,0
41,0,45,8,5500,0.61,3173.24,9999,6,3243.79,0,0,0.324379,0,0,0,0,0,122,122,47,4,19426.25,19426.25,8236.73,3347,0.607070313,0.607070313,0.499195758,0
1,0,29,61,54500,0.087446422,486.61,91,6,4655.3,1,1110,1.362526829,4,5,0,4907.15,0,77,28,22,12,71160.42,3285,1781,1291.5,0.108807982,0.010045872,0.010892966,1
44,0,42,4,8000,0.906375,6888.45,9999,4,6454.5,0,0,0.25818,0,0,0,0,0,13,13,11,5,25794,25794,20794,7243,0.8060625,0.8060625,0.866416667,0
74,0,33,12,26000,0.088598846,0,9999,6,4812.68,0,0,1.1550432,0,0,3,0,6500,45,40,21,0,21020.08,17065.08,9905.26,0,0.087693283,0.115148988,0.12715353,0
89,0,53,7,28000,0.800441786,21264.57,9999,6,14390.01,0,0,1.7268012,0,0,0,0,0,192,180,106,35,142001.86,124405.36,68444.42,22404.37,0.959472027,0.971916875,1.006535588,1
